#  L   cap    uv0   theta      lam_min(M)   lam_min/||M||   gQ(noise)/g0    gain/g0      loc(p)
  128 1e+04 0.30 0.29117 -3.2111e-03 -1.2199e-02 1.305e+03 1.463e-04 [0.968, 0.935, 0.871]
  128 1e+06 0.30 0.29119 -3.1344e-03 -6.7212e-03 9.315e+04 1.948e-06 [0.968, 0.935, 0.871]
  128 1e+08 0.30 0.29116 -7.8866e-03 -1.0480e-02 6.671e+09 1.722e-10 [0.774, 0.129, 0.806]
  128 1e+10 0.30 0.29118 -3.4771e-02 -3.5193e-02 6.319e+11 3.534e-11 [0.774, 0.806, 0.742]
  128 1e+12 0.30 0.29119 -1.0499e-01 -7.5286e-02 5.475e+13 3.718e-12 [0.774, 0.806, 0.742]
  128 1e+04 0.20 0.26146 -3.6433e-03 -1.2529e-02 4.283e+02 5.808e-04 [0.968, 0.935, 0.871]
  128 1e+06 0.20 0.26150 -3.5702e-03 -7.0074e-03 2.951e+04 8.072e-06 [0.968, 0.935, 0.871]
  128 1e+08 0.20 0.26149 -7.2271e-03 -8.7989e-03 6.695e+09 1.458e-10 [0.129, 0.71, 0.161]
  128 1e+10 0.20 0.26149 -2.8211e-02 -2.5823e-02 6.541e+11 2.274e-11 [0.129, 0.71, 0.161]
  128 1e+12 0.20 0.26149 -4.6477e-02 -2.8679e-02 6.264e+13 6.444e-13 [0.129, 0.71, 0.226]
